trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
91,False,"{'a': 0.9, 'e': 0.40068465295154054}",30,22,-17.766937783712653,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 0}",1
92,False,"{'a': 0.9, 'e': 0.3966778064220251}",25,6,-86.60442621467662,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 2}",1
93,False,"{'a': 0.9, 'e': 0.39271102835780486}",30,18,-42.72423805306881,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.9, 'e': 0.3887839180742268}",20,0,-34.29289045920823,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
95,False,"{'a': 0.9, 'e': 0.38489607889348454}",20,11,4.272085825174992,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.9, 'e': 0.38104711810454966}",20,16,5.992267816931518,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.9, 'e': 0.37723664692350417}",20,2,-79.77318199468696,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.9, 'e': 0.37346428045426916}",25,14,-43.82526489373446,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.9, 'e': 0.36972963764972644}",25,18,-29.70881722644655,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.9, 'e': 0.3660323412732292}",25,2,27.788741640235752,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 0.3623720178604969}",35,23,-6.4306951779866255,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.9, 'e': 0.3587482976818919}",20,5,-15.519481471391053,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.9, 'e': 0.355160814705073}",20,6,15.91623126819368,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.9, 'e': 0.35160920655802225}",30,13,-37.78735111196983,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
105,False,"{'a': 0.9, 'e': 0.348093114492442}",20,4,-21.627795302123832,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
106,False,"{'a': 0.9, 'e': 0.3446121833475176}",20,6,-17.4607884970422,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
107,False,"{'a': 0.9, 'e': 0.34116606151404244}",20,8,20.418625467486695,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.9, 'e': 0.337754400898902}",20,4,-9.249322032552637,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.9, 'e': 0.334376856889913}",20,9,-55.7669644758795,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
110,False,"{'a': 0.9, 'e': 0.33103308832101386}",20,0,-37.860044846455665,"{0: 15, 1: 4, 2: 0, 3: 0, 4: 1}",0
111,False,"{'a': 0.9, 'e': 0.3277227574378037}",25,10,-8.268874015505832,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.3244455298634257}",20,0,-21.558352793554068,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
113,False,"{'a': 0.9, 'e': 0.3212010745647914}",25,14,-6.40627088743877,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.9, 'e': 0.3179890638191435}",30,5,-50.12009060920736,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",1
115,False,"{'a': 0.9, 'e': 0.31480917318095203}",25,13,0.16645591386807634,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.9, 'e': 0.3116610814491425}",25,0,-20.12827555980612,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
117,False,"{'a': 0.9, 'e': 0.30854447063465107}",35,19,-36.73806781320001,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
118,False,"{'a': 0.9, 'e': 0.3054590259283046}",25,19,10.90728885112686,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.9, 'e': 0.30240443566902153}",25,0,-2.2773455774064324,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
120,False,"{'a': 0.9, 'e': 0.2993803913123313}",20,3,-1.6267880902697147,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
121,False,"{'a': 0.9, 'e': 0.296386587399208}",25,15,18.99114551102371,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.9, 'e': 0.2934227215252159}",20,8,-33.86064951810356,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.9, 'e': 0.29048849430996376}",25,11,19.28572985847145,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.9, 'e': 0.2875836093668641}",30,15,-34.55919148966815,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
125,False,"{'a': 0.9, 'e': 0.28470777327319546}",20,0,-16.367882960217408,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
126,False,"{'a': 0.9, 'e': 0.2818606955404635}",20,6,7.012896670145091,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
127,False,"{'a': 0.9, 'e': 0.27904208858505886}",20,0,25.161326344060676,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.9, 'e': 0.2762516676992083}",20,0,-7.055167272046189,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
129,False,"{'a': 0.9, 'e': 0.2734891510222162}",20,11,2.4893005118300806,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
130,False,"{'a': 0.9, 'e': 0.27075425951199406}",25,13,-20.131961780493217,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.9, 'e': 0.2680467169168741}",25,10,-8.664821719527717,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.9, 'e': 0.26536624974770534}",20,8,18.670193816512942,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.9, 'e': 0.2627125872502283}",20,6,-11.9522509734122,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.9, 'e': 0.26008546137772603}",20,9,-12.887602952423396,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
135,False,"{'a': 0.9, 'e': 0.25748460676394874}",25,17,1.2550072951432605,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.9, 'e': 0.2549097606963093}",20,6,14.81426430443951,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.9, 'e': 0.2523606630893462}",30,10,-140.0850353555146,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",1
138,False,"{'a': 0.9, 'e': 0.2498370564584527}",30,21,12.841519053822857,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.9, 'e': 0.24733868589386818}",25,13,-11.027266853406672,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.9, 'e': 0.24486529903492948}",25,16,15.435535407769077,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.9, 'e': 0.2424166460445802}",30,0,-37.70051717121168,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
142,False,"{'a': 0.9, 'e': 0.2399924795841344}",35,1,50.91351148268982,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.9, 'e': 0.23759255478829303}",30,17,10.462207927866794,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.9, 'e': 0.23521662924041012}",20,12,3.274938474266466,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.9, 'e': 0.232864462948006}",25,6,-18.240702388644443,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.9, 'e': 0.23053581831852593}",30,8,-12.933037145139922,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.9, 'e': 0.22823046013534068}",20,8,9.808290795048993,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
